Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,4.54E+00,8.78E-03,9.08E+03,9.09E+03,9.08E+03
1.50E-03,4.24E+00,1.53E-02,3.40E+03,3.40E+03,3.40E+03
2.00E-03,3.93E+00,2.12E-02,1.62E+03,1.63E+03,1.62E+03
3.00E-03,3.35E+00,3.21E-02,5.54E+02,5.58E+02,5.54E+02
4.00E-03,2.85E+00,4.21E-02,2.54E+02,2.57E+02,2.54E+02
5.00E-03,2.42E+00,5.13E-02,1.37E+02,1.40E+02,1.37E+02
6.00E-03,2.07E+00,5.97E-02,8.27E+01,8.48E+01,8.28E+01
7.11E-03,1.75E+00,6.80E-02,5.14E+01,5.32E+01,5.15E+01
7.11E-03,1.75E+00,6.80E-02,4.06E+02,4.08E+02,4.06E+02
8.00E-03,1.54E+00,7.40E-02,3.04E+02,3.06E+02,3.04E+02
1.00E-02,1.20E+00,8.54E-02,1.69E+02,1.71E+02,1.70E+02
1.50E-02,7.46E-01,1.05E-01,5.62E+01,5.71E+01,5.63E+01
2.00E-02,5.17E-01,1.16E-01,2.51E+01,2.57E+01,2.52E+01
3.00E-02,2.85E-01,1.29E-01,7.76E+00,8.18E+00,7.89E+00
4.00E-02,1.80E-01,1.34E-01,3.32E+00,3.63E+00,3.45E+00
5.00E-02,1.24E-01,1.36E-01,1.70E+00,1.96E+00,1.83E+00
6.00E-02,9.18E-02,1.36E-01,9.78E-01,1.21E+00,1.11E+00
8.00E-02,5.60E-02,1.33E-01,4.06E-01,5.95E-01,5.39E-01
1.00E-01,3.77E-02,1.30E-01,2.05E-01,3.72E-01,3.34E-01
,,,,,
,,,,,
,,,,,
